Distance,High (GFP),High (TS1),High(TS2),Low (GFP),Low (TS1),Low (TS2)
2.187296824,0.646816599,0.35726411,0.974863232,0.997184918,0.374119563,0.970470173
2.189297324,0.646349876,0.356737368,0.97433241,0.997051507,0.373646769,0.96985434
2.191297824,0.645883156,0.356211259,0.973795351,0.99691971,0.373174027,0.969231131
2.193298325,0.645416274,0.355685139,0.973252099,0.99678878,0.372701608,0.968602036
2.195298825,0.644950022,0.355159413,0.972706099,0.996653774,0.372229709,0.967965659
2.197299325,0.644484604,0.354634234,0.972156987,0.996511157,0.371758111,0.967322376
2.199299825,0.644018312,0.354109539,0.971605084,0.996364881,0.3712868,0.9666748
2.201300325,0.643551753,0.353585073,0.971050128,0.996216539,0.370815695,0.966022184
2.203300825,0.64308562,0.35306111,0.97048556,0.996065966,0.370344569,0.965366458
2.205301325,0.642620295,0.352538343,0.969913819,0.995912205,0.369873512,0.964704148
2.207301825,0.64215487,0.352016143,0.9693388,0.995749695,0.369402747,0.964032
2.209302326,0.641689285,0.351494357,0.968759305,0.995585245,0.368932377,0.963354103
2.211302826,0.64122364,0.350972987,0.968176958,0.995418849,0.368462515,0.962674261
2.213303326,0.640759721,0.3504526,0.96758624,0.995252595,0.367992796,0.961991995
2.215303826,0.640296368,0.349932512,0.966991155,0.995081536,0.367523072,0.961303979
2.217304326,0.63983109,0.349413135,0.966388488,0.994902838,0.367053798,0.960608351
2.219304826,0.63936634,0.34889421,0.965782425,0.994719974,0.366584664,0.959904579
2.221305326,0.638901102,0.348375663,0.965171408,0.994536865,0.366115671,0.959195504
2.223305826,0.638437091,0.347857732,0.964555043,0.994351849,0.365647097,0.958479592
2.225306327,0.63797276,0.347340451,0.963934856,0.994164068,0.365178757,0.95775946
2.227306827,0.637507507,0.346823728,0.963310779,0.993972551,0.364710489,0.957036234
2.229307327,0.637041793,0.346307269,0.962685414,0.993772259,0.364242573,0.956307822
2.231307827,0.636575821,0.345791005,0.96205671,0.993570562,0.363774627,0.955575151
2.233308327,0.63610969,0.34527525,0.961421887,0.993369096,0.363306719,0.954837342
2.235308827,0.635643596,0.344760647,0.96078101,0.993163527,0.362839151,0.954096164
2.237309327,0.635178401,0.344246509,0.960135021,0.992953575,0.362371777,0.953349843
2.239309827,0.634713295,0.343733207,0.95948296,0.992736711,0.361905234,0.952596022
2.241310328,0.63424982,0.343220945,0.958825785,0.992515931,0.361439057,0.951838868
2.243310828,0.633785439,0.342709235,0.95816236,0.992293846,0.360973022,0.951073261
2.245311328,0.633319897,0.342197477,0.957496076,0.992070807,0.360506591,0.950301059
2.247311828,0.632854496,0.341686776,0.956824794,0.991842546,0.360040563,0.94952539
2.249312328,0.632388619,0.341177191,0.956148381,0.991608554,0.359574696,0.948746316
2.251312828,0.631922795,0.340667613,0.95547041,0.991366709,0.359109126,0.947962608
2.253313328,0.631455938,0.340158251,0.954787977,0.991123798,0.358643866,0.947173308
