"control (PBS)","Low Dosage (0.03mg/kg)","Medium Dosage (0.3mg/kg)","High Dosage (3mg/kg)"
0.05336763157054,0.71749373168231,1.39823289135267,1.45623703241618
0.10207649133569,0.44380722115434,1.75484060872390,0.95801818971736
0.11059496627529,0.46197334088778,1.21680254584503,1.18676112809533
0.18436275588570,0.41276206700185,0.96099099014756,1.01520465218509
0.15146127998801,0.37204235355387,1.69425102847767,1.78015986013302
0.05466039529615,0.74606122378761,0.59764033925701,1.83657231598705
0.50851936310896,0.38879369382859,0.85261809306924,2.44894202808752
0.10688435054819,0.48519981053978,0.82933358289535,2.53852873043194
0.06720146673703,1.19556004147820,0.84272876331403,1.82587107569696
0.21899284115819,0.55366113314606,1.50778773150641,2.41646251797761
0.17677250694056,0.81754884146757,1.39051641009548,2.55259135094355
0.05282064171884,0.23412318269658,1.67980274132420,1.74376755041704
0.04598572909187,0.49983881602027,1.75644105308137,0.81646273243831
0.07988314702992,1.14878781491456,1.85302352113800,1.50257297774085
0.08336108505630,0.92631429749750,1.58735067068269,0.77017869742928
0.16494842533357,0.43749283806117,1.42738335439239,1.31867888007709
0.03404096503518,0.51543622785510,1.64046565243221,1.85397594014362
0.13530268589038,0.59112856249188,0.45594669987462,1.19441863997514
0.22296560384817,0.54450581978704,1.31428508176616,1.51408527514010
0.10880057043942,0.74626063330031,1.79734804611057,1.65920999273261
0.05668883088874,0.45858039446694,1.77044550806111,0.82636125888987
0.16238176071322,0.71236428929072,1.07429938870834,1.85318783972344
0.05909632523986,0.94410460843009,1.53214132458490,1.45033582592259
0.03276059378885,0.78272466370622,0.67795186894794,0.77444697414840
0.11313111601805,0.48248278890575,1.11874212767626,1.96541861725894
0.08519237893209,0.73929512570865,0.75880585302977,2.19005133290466
0.03101905039066,0.59925915815190,0.80047510107502,1.54814295666646
0.06316417018848,,0.91966432637755,1.66650018458566
0.05150578333895,,1.59778549407553,1.08408479639730
0.30177559939252,,0.91766001899296,0.85219921850565
0.03733624477691,,,1.84300340561380
0.05748209769104,,,1.80096890991224
0.04725066135873,,,0.77839914975484
0.11607123928758,,,0.99205602354847
0.10897500359034,,,1.60337301201761
0.06117747172951,,,1.27129521972820
0.01765443564129,,,2.90397205034865
0.11780421457596,,,1.51958219353445
0.16961257773767,,,1.09641850938669
0.14741768111268,,,0.67976726715507
0.11987172376769,,,2.09998677672835
0.25361211455845,,,1.56546306573751
0.23571035021614,,,
0.07048590204847,,,
0.15485781580897,,,
0.06912651417884,,,
0.07250946975898,,,
0.03145622947883,,,
0.04690550154460,,,
0.01270160759646,,,
0.03030478485369,,,
0.26423661306945,,,
0.02089620071860,,,
0.03044751992664,,,
0.04801640246316,,,
0.01374077245202,,,
0.05755639588215,,,
0.06864848963765,,,
0.05873781335388,,,
0.03610687556562,,,
0.18476093178243,,,
