"LPS at D0","LPS at D1","LPS at D2"
1.26078006865185,2.30789936235700,2.77102731542302
1.35244007336912,2.44508538784731,2.70795294767757
0.51769650844355,2.35634150856783,2.93888681378037
2.52336969042489,2.56702363746566,2.30255721541086
1.32600480146413,2.65346746731010,2.44234169902316
1.23318996549513,2.40537789034731,2.25994743358697
0.26213428569977,2.43754282482813,3.29934957761108
1.36524421801292,1.56396300223733,2.70168587769477
0.69240130745180,2.28911068997694,2.41516274440085
1.32167327395672,1.08165224897437,3.34178486979384
2.52083078318148,1.87744816590012,2.41832292338334
2.35704212237117,2.42916862128670,2.96009367008039
1.95715896204590,2.95540054095273,3.33833495281303
0.67677845571005,2.56406693088536,2.90187761409636
1.11430409805676,2.35116571251271,2.55108658830251
0.72939364498791,2.22936191932521,2.53115899943100
0.47353022421579,1.87068552612866,2.82478728029778
0.75809332373046,1.73178719506357,3.29800300656767
0.93894284308883,2.49435003661118,2.74908845962691
2.07161578677723,2.58121914399093,3.14797652307990
0.33688553934775,1.97213450161154,2.98441319543578
0.68202323137855,1.84234588476489,2.48039795182425
1.86284077407617,1.84760067897720,2.74194132677203
1.50932153867382,1.74119977814647,2.97004557202709
2.32287721106551,1.71073060171612,2.70712066042145
0.38212825091098,1.23947390672445,2.83851792182635
1.00858750264274,1.64019732330586,2.67996459306864
0.93991604913429,2.38107154494802,2.50082053270977
2.10484846916452,1.96170719278608,2.74145879372720
1.61738853496602,2.92455315262328,2.42772838502079
1.59479999368434,2.14878390488829,2.36426174258440
1.15142685683836,2.21668825882379,2.62591939701076
0.70279989675253,1.74266599683694,3.27730132807399
0.18949678714494,2.62546194241054,2.41606968237138
0.23480272342251,2.38926356761106,2.95971336254964
0.63700583383497,1.39590952007290,2.48769283476022
2.06236535830753,1.87456827812057,2.33999205146940
1.61766055224292,2.15170318372137,2.42199679978921
2.13236125401208,1.38756030299609,2.57106346411956
2.42548069744647,1.56328252794031,3.02429893893603
0.81135180069428,2.09181678663196,2.92462057209665
0.93694840302613,1.34934858521393,3.17448114383489
0.18800857067093,1.02249729158053,2.75280437066338
1.89645794762512,1.89119635330323,2.13449033003971
0.52596057542875,2.27060894082018,3.01833301125574
1.66301569258516,2.23200242800883,2.45640590726583
1.72612392201961,1.96314826635646,2.67221955753082
0.35655308893797,2.08951776649825,2.71651450029835
1.57142383686474,2.34632148032776,2.59951347355560
0.97818730492149,2.51094745386173,2.66311427119830
1.10144886044385,2.71144086547263,2.11008762093993
1.37526940898608,1.50866241707510,2.12253322930358
,2.74053741344949,3.07308414576590
,2.03981230637777,2.85935685344266
,2.28998467457036,2.61406886362050
,1.40001279919724,
,2.74710016113333,
,1.46824188809613,
,1.18051884543611,
